mid	name	image	num_active_days	active_fraction_before	active_fraction_after	max_smoothed_before	max_raw_before	mean_before	mean_after	mean_after_peak	peak_smoothed	peak_raw	peak_raw_day	time_till_half	time_till_half_thresh	natural_death	unnatural_death	gender	cause_of_death	age	notable_type
/m/0101cfdn	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_0101cfdn.png")	719	0.994444444444444	1	-6.36735401184706	-5.944257190494	-6.55677588483193	-6.07864509494138	-6.05024958960348	-6.38240831030629	-6.03989995851508	6	0.741666666666667	0.769444444444444	0	1		<http://rdf.freebase.com/ns/m.0599xjp>Falling from height	25	<http://rdf.freebase.com/ns/m.022tfrk>Deceased Person
/m/010gcqc7	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_010gcqc7.png")	357	0.136111111111111	0.853185595567867	-7.77589776754442	-6.68756923785639	-7.80327751269678	-6.93233413406366	-7.02850295173957	-5.76505373278664	-5.06577277692577	9	0.263888888888889	0.186111111111111	0	1		<http://rdf.freebase.com/ns/m.0x2fg>Homicide	17	<http://rdf.freebase.com/ns/m.022tfrk>Deceased Person
/m/010p8p	Zecharia_Sitchin	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Zecharia_Sitchin.png")	305	0.25	0.653739612188366	-7.30254808590482	-5.41898799428229	-7.53350666549901	-7.2104201347789	-7.21393069465008	-6.79894161491537	-5.23438258802276	17	0.494444444444444	0.144444444444444	0	0	Male		90	<http://rdf.freebase.com/ns/m.0bgm3n7>Person or entity appearing in film
/m/010vq7bl	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_010vq7bl.png")	22	0.0306406685236769	0.0304709141274238	-7.83068814411857	-7.07408882689019	-7.84875399337672	-7.85069486384294	-7.85138025861619	-7.84273527192211	-7.37197003532184	24	0.419444444444444	0.338888888888889	0	0			NA	<http://rdf.freebase.com/ns/m.022tfrk>Deceased Person
/m/0115lg44	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_0115lg44.png")	70	0.0972222222222222	0.0969529085872576	-7.80598021618109	-7.34798792668468	-7.83329758731805	-7.82433582193101	-7.8234604262744	-7.83075152237816	-7.75935823722648	8	0.447222222222222	0.436111111111111	0	0			NA	<http://rdf.freebase.com/ns/m.022tfrk>Deceased Person
/m/011ll3ct	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_011ll3ct.png")	83	0.0888888888888889	0.141274238227147	-7.75132463093992	-6.4395411525217	-7.81421454635477	-7.79252368442109	-7.80346194283303	-7.42821989570548	-6.843401208491	1	0.238888888888889	0.141666666666667	0	0			NA	<http://rdf.freebase.com/ns/m.022tfrk>Deceased Person
/m/011ltp9z	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_011ltp9z.png")	48	0.0696378830083565	0.0637119113573407	-7.76999540751972	-6.89112154752033	-7.82081834130456	-7.83662099058867	-7.83414396766706	-7.85590617911073	-7.38740381609139	26	0.566666666666667	0.575	0	0			NA	<http://rdf.freebase.com/ns/m.0bgm3n7>Person or entity appearing in film
/m/011nz52y	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_011nz52y.png")	57	0.0416666666666667	0.116666666666667	-7.77079982104899	-6.45371468223439	-7.84287382637017	-7.78017699070773	-7.80488649714059	-6.98170863227455	-6.51622692380284	1	0.152777777777778	0.0916666666666667	1	0		<http://rdf.freebase.com/ns/m.0qcr0>Cancer	NA	<http://rdf.freebase.com/ns/m.0jsg3l>Film producer
/m/011t8l33	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_011t8l33.png")	208	0.275766016713092	0.301939058171745	-7.58207087914991	-6.70343775798687	-7.66459330561766	-7.69753420781703	-7.70316027035379	-7.63218788789541	-6.16226921970438	4	0.569444444444444	0.636111111111111	0	0			27	
/m/011vw3	Henryk_G%F3recki	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Henryk_G+recki.png")	208	0.177536231884058	0.440443213296399	-7.5707422706005	-5.22147161830739	-7.63155090437893	-7.3885253490398	-7.4986909261871	-4.91424966808281	-4.18828022595161	0	0.166666666666667	0.0777777777777778	1	0	Male	<http://rdf.freebase.com/ns/m.0j5k070>Lung Infection	77	<http://rdf.freebase.com/ns/m.0kpysb>Composer
/m/012bfc	Lol_Coxhill	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Lol_Coxhill.png")	167	0.133704735376045	0.329639889196676	-7.69587890810178	-6.51499443447016	-7.77950424392377	-7.61974617300357	-7.68627131811525	-5.87123576450484	-5.13103042633425	0	0.158333333333333	0.0888888888888889	0	0	Male		80	<http://rdf.freebase.com/ns/m.0kpv1m>Musical Artist
